session_day,has_0930,close_0925,composite_depth,n_hvn,levels_present,ambiguous_bars,side,sweep_time,swept_levels,swept_level,swept_type,sweep_extreme,pre_sweep_swing,conf_time,conf_types,conf_any,ifvg_fresh_on_conf_bar,range_lo,range_hi,eq,zones_any,zone_used,zone_low,zone_high,zone_time,fill_time,entry,outcome,ambiguous_detail,abstain_only_bars,classes_returned,classes_abstained,wick_also_took,eq_atr,eq_usable_time,eq_wait_bars,eq_fill_open_far_side,cooccur_zones,t1_dir,t1_vol,t1,t2
2026-02-16,1,24764.00,0,0,ASIA_H=24874.00;LON_H=24922.25;ASIA_L=24754.50;LON_L=24841.00;H1_SH=24872.50,,1,09:30,ASIA_L;LON_L,ASIA_L,ASIA,24746.00,24875.75,09:50,ifvg,ifvg@09:50,1,24746.00,24776.50,24761.25,eq@09:50;fvg@09:55,fvg,24731.00,24753.25,09:55,,,no_fill,,,ASIA:ASIA_L,,,22.13,09:50,0,,,,,,
2026-02-17,1,24658.25,1,6,ASIA_H=24842.50;LON_H=24726.75;PDH=24922.25;ASIA_L=24558.25;LON_L=24518.00;PDL=24670.75;H1_SH=24726.75;H1_SL=24558.25;H4_SH=24922.25;POC_PREV=24722.50;HVN_1=24701.50;HVN_2=24714.50;HVN_3=24723.50;HVN_4=24737.50;HVN_5=24749.50;HVN_6=24756.50,,1,09:30,PDL,PDL,PD,24605.75,24671.25,09:35,bos+ifvg+ote,bos@09:35;ifvg@09:35;ote@09:35,1,24605.75,24815.75,24710.75,eq@09:35;ob@09:35,eq,24710.75,24710.75,09:35,09:50,24661.00,filled,,,PD:PDL,,LON_H;H1_SH,43.32,09:35,0,0,ob,PDL=24670.75,HVN_1=24701.50,PDL=24670.75,HVN_1=24701.50
2026-02-18,1,24809.00,2,6,ASIA_H=24847.00;LON_H=24962.50;PDH=24889.75;ASIA_L=24700.75;LON_L=24833.50;PDL=24449.25;H1_SH=24815.75;H1_SL=24802.00;H4_SH=24889.75;H4_SL=24449.25;POC_PREV=24770.50;HVN_1=24838.50;HVN_2=24769.50;HVN_3=24760.50;HVN_4=24753.50;HVN_5=24728.50;HVN_6=24716.50,,1,09:40,H1_SL;LON_L,LON_L,LON,24787.50,24848.25,09:50,bos+ifvg+ote,bos@09:50;ifvg@09:50;ote@09:50,1,24787.50,24894.50,24841.00,eq@09:50;ob@09:50,eq,24841.00,24841.00,09:50,,,no_fill,,09:30;09:35,LON:LON_L,H1,ASIA_H;H1_SH,42.20,09:50,0,,,,,,
2026-02-19,1,24833.75,3,6,ASIA_H=25047.25;LON_H=25054.00;PDH=25128.25;ASIA_L=24916.25;LON_L=24810.50;PDL=24700.75;H1_SH=24842.50;H1_SL=24802.00;H4_SH=24889.75;H4_SL=24449.25;POC_PREV=25089.50;HVN_1=24831.50;HVN_2=24851.50;HVN_3=24815.50;HVN_4=24813.50;HVN_5=24858.50;HVN_6=24860.50,,-1,09:30,H1_SH,H1_SH,H1,24883.50,24828.00,09:35,bos+ote,bos@09:35;ote@09:35,,24763.00,24883.50,24823.25,eq@09:35;ob@09:35;breaker@09:35,breaker,24833.50,24866.00,09:35,09:50,24833.50,filled,,,H1:H1_SH,,ASIA_L,31.55,09:35,0,,,LON_L=24810.50,HVN_1=24831.50,HVN_1=24831.50,HVN_3=24815.50
2026-02-20,1,24715.50,4,6,ASIA_H=24956.00;LON_H=24984.75;PDH=25054.00;ASIA_L=24826.00;LON_L=24791.00;PDL=24749.00;H1_SH=24726.75;H1_SL=24700.75;H4_SH=24889.75;H4_SL=24449.25;POC_PREV=24863.50;HVN_1=24779.50;HVN_2=24797.50;HVN_3=24803.50;HVN_4=24816.50;HVN_5=24835.50;HVN_6=24837.50,,1,09:30,H1_SL;PDL;LON_L;ASIA_L,PDL,PD,24678.50,24784.00,09:35,bos+ifvg+ote,bos@09:35;ifvg@09:35;ote@09:35,1,24678.50,24892.50,24785.50,eq@09:35;ob@09:35,eq,24785.50,24785.50,09:35,,,no_fill,,,LON:LON_L;PD:PDL,H1,H1_SH,41.30,09:35,0,,,,,,
2026-02-23,1,24981.25,5,6,ASIA_H=25059.75;LON_H=25004.00;PDH=25139.50;ASIA_L=24807.25;LON_L=24877.50;PDL=24678.50;H1_SH=24984.75;H1_SL=24940.75;H4_SH=25054.00;H4_SL=24749.00;POC_PREV=25072.50;HVN_1=24945.50;HVN_2=24940.50;HVN_3=25028.50;HVN_4=25031.50;HVN_5=24928.50;HVN_6=24926.50,,-1,09:35,LON_H;H1_SH,LON_H,LON,25030.00,24926.50,09:40,bos+ifvg+ote,bos@09:40;ifvg@09:40;ote@09:40,1,24879.00,25030.00,24954.50,eq@09:40;ob@09:40,eq,24954.50,24954.50,09:40,09:50,24954.50,filled,,,LON:LON_H,,,33.16,09:40,0,1,ob,H1_SL=24940.75,HVN_1=24945.50,HVN_1=24945.50,H1_SL=24940.75
2026-02-24,1,24804.75,6,6,ASIA_H=24888.25;LON_H=24902.25;PDH=25059.75;ASIA_L=24767.00;LON_L=24761.00;PDL=24668.00;H1_SH=24815.75;H1_SL=24802.00;H4_SH=24889.75;H4_SL=24749.00;POC_PREV=24739.50;HVN_1=24805.50;HVN_2=24803.50;HVN_3=24817.50;HVN_4=24779.50;HVN_5=24835.50;HVN_6=24759.50,,1,09:35,H4_SL;LON_L;ASIA_L;H1_SL,H4_SL,H4,24694.50,24892.00,09:40,bos+ifvg+ote,bos@09:40;ifvg@09:40;ote@09:40,1,24694.50,24913.00,24803.75,eq@09:40,eq,24803.75,24803.75,09:40,,,no_fill,,09:30,ASIA:ASIA_L;LON:LON_L;H1:H1_SL;H4:H4_SL,,,39.64,09:40,0,,,,,,
2026-02-25,1,25160.50,7,6,ASIA_H=25114.50;LON_H=25153.00;PDH=25078.75;ASIA_L=24992.00;LON_L=25036.50;PDL=24694.50;H1_SL=25017.50;H4_SL=24807.25;POC_PREV=25022.50;HVN_1=25057.50;HVN_2=25055.50;HVN_3=25053.50;HVN_4=25051.50;HVN_5=25023.50;HVN_6=25017.50,,0,,,,,,,,,,,,,,,,,,,,,no_sweep,,,,,,,,,,,,,,
2026-02-26,1,25341.25,8,6,ASIA_H=25418.25;LON_H=25401.50;PDH=25494.75;ASIA_L=25264.75;LON_L=25343.25;PDL=24992.00;H1_SH=25361.75;H1_SL=25283.25;H4_SH=25494.75;H4_SL=24807.25;POC_PREV=25372.50;HVN_1=25069.50;HVN_2=25057.50;HVN_3=25055.50;HVN_4=25053.50;HVN_5=25051.50;HVN_6=25037.50,,1,09:30,ASIA_L;H1_SL;LON_L,ASIA_L,ASIA,25256.00,25415.25,,,,,,,,,,,,,,,no_confirmation,,,ASIA:ASIA_L,,,,,,,,,,,
2026-02-27,1,24814.25,9,6,ASIA_H=25079.00;LON_H=25098.75;PDH=25418.25;ASIA_L=24954.75;LON_L=24874.00;PDL=24861.75;H1_SH=24815.75;H1_SL=24808.00;H4_SH=24889.75;H4_SL=24807.25;POC_PREV=25066.50;HVN_1=24818.50;HVN_2=24803.50;HVN_3=24794.50;HVN_4=24836.50;HVN_5=24779.50;HVN_6=24863.50,,1,09:30,H4_SL;H1_SL;PDL;LON_L;ASIA_L,PDL,PD,24805.00,24879.25,09:35,bos+ifvg+ote,bos@09:35;ifvg@09:35;ote@09:35,1,24805.00,24909.00,24857.00,eq@09:35;ob@09:35,eq,24857.00,24857.00,09:35,09:55,24857.00,filled,,,LON:LON_L;PD:PDL,H1;H4,H4_SH;H1_SH,37.47,09:35,0,1,ob,PDL=24861.75,HVN_6=24863.50,PDL=24861.75,HVN_6=24863.50
